lemma,frequency
.,19667
",",16361
the,14953
of,8158
be,7290
and,7213
a,7112
he,5793
to,4967
in,4935
i,4002
his,3330
that,3131
:,2562
it,2521
with,2513
—,2358
?,2176
on,2113
's,2043
you,2021
have,2013
say,1997
for,1952
her,1795
),1787
they,1769
not,1753
_,1594
!,1468
do,1455
all,1320
at,1290
by,1267
she,1223
as,1184
_(,1125
from,1087
bloom,1007
what,985
or,957
out,898
my,884
up,827
there,809
like,780
one,752
their,725
we,721
mr,717
see,708
go,695
will,694
but,694
no,670
(,651
come,647
so,615
man,599
then,578
would,576
stephen,570
good,567
know,556
when,552
this,546
if,543
about,534
get,523
which,518
who,518
old,509
your,507
hand,494
look,463
eye,457
time,454
down,452
make,445
over,443
too,442
now,438
after,427
take,418
two,393
give,391
could,388
other,381
back,370
off,370
tell,364
yes,358
day,336
woman,332
where,330
into,330
more,315
some,315
o,311
thing,308
think,307
father,307
street,306
...,303
our,298
way,297
here,296
its,293
well,293
little,291
can,288
how,284
first,278
turn,276
ask,276
face,272
want,268
hear,262
long,259
name,259
call,258
god,258
head,256
only,253
through,252
put,252
never,252
round,249
right,249
just,249
night,245
again,244
word,230
let,227
very,226
must,225
under,224
love,222
himself,221
because,220
sir,220
before,218
life,214
walk,207
-,206
pass,205
year,204
young,203
mrs,202
voice,200
wait,200
house,198
still,195
john,194
hat,193
why,191
any,191
feel,189
place,188
last,187
poor,187
j.,185
stand,183
might,181
hold,180
something,179
away,179
dedalus,174
always,174
three,174
course,173
fellow,171
than,169
though,169
same,168
light,164
mulligan,163
white,163
much,163
bring,162
foot,162
leave,161
ever,160
own,159
world,159
bit,158
laugh,157
water,157
lord,157
cry,155
great,155
read,155
point,154
new,154
write,153
bear,152
open,152
high,152
watch,151
wife,150
most,150
mother,149
black,147
door,147
miss,146
behind,144
girl,144
arm,141
every,141
smile,140
heart,140
speak,140
fall,140
run,139
suppose,138
without,138
dark,136
sit,136
joe,135
show,134
bad,134
till,134
find,134
person,133
between,133
lay,132
answer,132
big,132
mouth,132
son,132
upon,131
boy,131
side,131
such,130
while,129
hair,128
against,128
lady,128
another,127
once,127
even,125
half,125
die,124
far,124
s.,124
dublin,123
dead,123
near,123
wonder,122
try,122
air,121
keep,121
towards,120
morning,119
gentleman,119
child,119
home,119
letter,119
use,119
sing,118
buck,117
follow,116
kind,116
along,116
sea,114
bed,114
talk,114
live,113
red,113
irish,112
draw,112
drink,112
mean,111
play,110
paper,110
bloody,108
end,108
meet,108
money,107
second,107
lose,107
martin,107
lenehan,107
finger,106
remember,106
book,106
pocket,105
both,105
citizen,103
full,102
zoe,102
past,101
mind,101
green,100
nothing,100
eat,100
power,100
friend,100
sure,99
corner,98
forget,98
._,98
land,97
rise,97
four,97
moment,95
lip,95
window,95
each,95
pay,94
case,94
gold,93
begin,93
may,93
soul,92
death,92
work,92
five,92
wear,91
touch,91
stop,91
believe,91
king,91
master,90
body,89
form,89
ear,89
part,89
anything,88
lift,87
also,87
sweet,86
ireland,86
hour,86
break,85
quite,85
left,85
step,84
should,84
brother,84
wind,83
ah,83
yet,83
table,83
line,83
dear,83
blue,83
!_,82
sun,82
send,82
ten,82
change,82
flower,82
dignam,82
nice,82
dress,81
throw,81
horse,81
stick,81
perhaps,81
